"","y"
"b_Fbat107PT24.CEL",-6.64385618977472
"b_Fbat107PT30.CEL",-6.94786237666482
"b_Fbat107PT48.CEL",-7.93016037493137
"b_Fbat107PT52.CEL",-8.28771237954945
"knh_102_Fbat289PT24.CEL",-7.31043245604953
"knh_103_Fbat289PT48.CEL",-7.64385618977472
"knh_490_BS0001_Fbat1070_PT24_1.Rep.CEL",-6.13796526004477
"knh_491_BS0001_Fbat1070_PT30_1.Rep.CEL",-6.55979192498625
"knh_492_BS0001_Fbat1070_PT48_1.Rep.CEL",-8.33351606916257
"knh_494_BS0001_Fbat1077_PT24_2.Rep.CEL",-6.31043245604953
"knh_495_BS0001_Fbat1077_PT30_2.Rep.CEL",-6.61528703757795
"knh_496_BS0001_Fbat1077_PT48_2.Rep.CEL",-7.11778737810714
"knh_498_BS0001_Fbat1091_PT24_3.Rep.CEL",-6.33351606916257
"knh_499_BS0001_Fbat1091_PT30_3.Rep.CEL",-6.70274987882829
"knh_500_BS0001_Fbat1091_PT48_3.Rep.CEL",-7.31043245604953
"knh_502_BS3416_E_Fbat1071_PT24_1.Rep.CEL",-5.93016037493137
"knh_503_BS3416_E_Fbat1071_PT30_1.Rep.CEL",-6.28771237954945
"knh_504_BS3416_E_Fbat1071_PT48_1.Rep.CEL",-8.15842936260448
"knh_506_BS3416_E_Fbat1078_PT24_2.Rep.CEL",-5.67300253543424
"knh_507_BS3416_E_Fbat1078_PT30_2.Rep.CEL",-6.13796526004477
"knh_508_BS3416_E_Fbat1078_PT48_2.Rep.CEL",-7.33351606916257
"knh_510_BS3416_E_Fbat1092_PT24_3.Rep.CEL",-6.01158797427521
"knh_512_BS3416_E_Fbat1092_PT48_3.Rep.CEL",-7.265344566521
"knh_532_BS3416_E_Fbat1092_PT30_3.Rep_wh.CEL",-6.29902769277728
"knh_655_BS5009_Fbat1374_PT24_1.Repl._No.2_repeated RNA.CEL",-6.42973138442188
"knh_657_BS5009_Fbat1379_PT24_2.Repl._No.6_repeated RNA.CEL",-6.70274987882829
"knh_659_BS5009_Fbat1383_PT24_3.Repl._No.10_repeated RNA.CEL",-6.45482236538471
"knh_660_BS5009_Fbat1374_PT30_1.Repl._No.3_rep_cDNA_new Yeast.CEL",-6.81197894858305
"knh_661_BS5009_Fbat1374_PT48_1.Repl._No.4_rep_cDNA_new Yeast.CEL",-9.58727266140836
"knh_662_BS5009_Fbat1379_PT30_2.Repl._No.7_rep_cDNA_new Yeast.CEL",-6.84476888370072
"knh_663_BS5009_Fbat1379_PT48_2.Repl._No.8_rep_cDNA_new Yeast.CEL",-9.96578428466209
"knh_664_BS5009_Fbat1383_PT30_3.Repl._No.11_rep_cDNA_new Yeas.CEL",-6.74855356844142
"knh_665_BS5009_Fbat1383_PT48_3.Repl._No.12_rep_cDNA_new Yeas.CEL",-8.38082178394093
"knh_679_BS5254_Fbat1442_PT24_1.Repl._No.38.CEL",-5.88683294326727
"knh_680_BS5254_Fbat1442_PT30_1.Repl._No.39.CEL",-6.265344566521
"knh_681_BS5254_Fbat1442_PT48_1.Repl._No.40.CEL",-7.70274987882829
"knh_683_BS5254_Fbat1443_PT24_2.Repl._No.42.CEL",-5.94786237666482
"knh_684_BS5254_Fbat1443_PT30_2.Repl._No.43.CEL",-6.254289378012
"knh_685_BS5254_Fbat1443_PT48_2.Repl._No.44.CEL",-7.89539495677069
"knh_687_BS5254_Fbat1444_PT24_3.Repl._No.46.CEL",-5.87832144341175
"knh_688_BS5254_Fbat1444_PT30_3.Repl._No.47.CEL",-6.23242994404826
"knh_689_BS5254_Fbat1444_PT48_3.Repl._No.48.CEL",-7.67300253543424
"knhb_039_Fbat152PT24.CEL",-6.53282487738598
"knhb_040_Fbat152PT48.CEL",-7.82828076091215
"knhb_041_Fbat152PT52.CEL",-8.243318260191
"knhb_046_Fbat202PT24.CEL",-6.265344566521
"knhb_047_Fbat202PT48.CEL",-8.58727266140836
"knhb_049_Fbat203PT24.CEL",-6.48035745749184
"knhb_050_Fbat203PT48.CEL",-6.93016037493137
"knhb_090_Fbat284PT24.CEL",-8.15842936260448
"knhb_091_Fbat284PT48.CEL",-9.58727266140836
"knhb_098_Fbat287PT24.CEL",-6.44222232860507
"knhb_099_Fbat287PT48.CEL",-8.11778737810714
"knhb_169_Fbat395PT24.CEL",-6.91267294820252
"knhb_170_Fbat395PT48.CEL",-7.265344566521
"knhb_174_Fbat396PT24.CEL",-7.11778737810714
"knhb_175_Fbat396PT48.CEL",-7.50635266602479
"knhb_180_Fbat397PT24.CEL",-7.03978486610586
"knhb_181_Fbat397PT48.CEL",-8.0782590139205
"knhb_186_Fbat398PT24.CEL",-6.68779953736232
"knhb_187_Fbat398PT48.CEL",-7.55979192498625
"knhb_237_Fbat394PT24.CEL",-6.87832144341175
"knhb_238_Fbat394PT48.CEL",-7.64385618977472
"knhb_247_Fbat525PT24.CEL",-6.87832144341175
"knhb_248_Fbat525PT48.CEL",-7.67300253543424
"knhb_251_Fbat526PT24.CEL",-7.28771237954945
"knhb_252_Fbat526PT48.CEL",-8.33351606916257
"knhb_255_Fbat527PT24.CEL",-6.94786237666482
"knhb_256_Fbat527PT48.CEL",-8.03978486610586
"knhb_259_Fbat528PT24.CEL",-6.76415042349244
"knhb_260_Fbat528PT48.CEL",-7.58727266140836
